Winery,Address,City,Website,Phone,NWP,App,Cave,Notes/Labels
Shibumi Knoll,3480 St. Helena Highway,St. Helena,www.shibumiknoll.com,968-9937,X,Private,,
Shypoke,2882A Foothill Blvd,Calistoga,www.shypoke.com,942-0420,X,Private,,
Signorello Vineyards,4500 Silverado Trail,Napa,www.signorellovineyards.com,255-5990,X,Yes,,
Silenus Vintners,5225 Solano Avenue,Napa,www.silenuswinery.com,299-3930,X,Yes,,Collective
Sill Family Vineyards,2929 Atlas Peak Road,Napa,www.sillfamilyvineyards.com,257-2929,X,Private,,Purchased old Ardente estate
Silver Oak Cellars,915 Oakville Crossroad,Oakville,www.silveroak.com,944-8808,X,No,,Also winery/TRoom in Geyserville
Silverpoint Cellars,PO Box 8017,Napa,www.silverpointcellars.com,506-6318,,Private,,"1 napa red, 1 sonoma chard"
Silver Stag Winery,5230 Country Lane,Napa,www.silverstagwinery.com,224-3111,X,Private,,Sparrow Hawk Winery
Silver Trident,6495 Washington Street,Yountville,www.silvertridentwinery.com,945-0311,X,No,,
Silverado Vineyards,6121 Silverado Trail,Napa,www.silveradovineyards.com,259-6617,X,No,,
Sinegal Family Estate,2125 Inglewood Ave,St. Helena,www.sinegalestate.com,244-1187,X,Private,Yes,
Sire Estate,15 Chateau Lane,Napa,www.sireestate.com,753-0927,,Private,,
Sixteen by Twenty 16x20,4155 Dry Creek Road,Napa,www.sixteenbytwentywines.com,226-6860,X,Private,,
Sjoeblom Winery,P.O. Box 3496,Napa,www.sjoeblom.com,968-9395,X,Private,,
Sky Vineyards,1500 Lokoya Road,Napa,www.skyvineyards.com,935-1391,X,Yes,,
Sky Devil,,Napa,www.skydevilwines.com,204-9657,,Private,,CS blend of non NV & NV vineyards
Sloan Estate,88 Auberge Road,Rutherford,www.sloanestate.com,967-8627,X,Private,Yes,
Smith Devereux,1300 1st Street Ste. 468,Napa,www.smithdevereux.com,861-1530,X,No,,Taste at JAM Cellars
Smith Madrone,4022 Spring Mountain Rd,St. Helena,www.smithmadrone.com,963-2283,X,Yes,,
Smoking Gun,PO Box 692,St. Helena,www.smokinggunwines.com,968-5251,,Yes,,William Cole
Snowden Vineyards,1478 Railroad Ave #5,St. Helena,www.snowdenvineyards.com,963-4292,X,Yes,,
Sodaro Estate Winery,24 Blue Oak Lane,Napa,www.sodarowines.com,975-6689,X,Private,,
Sodhani Vineyards,3283 St. Helena Highway N,St. Helena,www.sodhanivineyards.com,679-0747,X,Private,,
Solorio Family Wines,Greenwood Ave,Calistoga,www.soloriofamilywines.com,596-2359,X,Yes,,
Soma Cellars,300 Third Street,San Franc.,www.somacellars.com,,,Private,,50/50 Napa Sonoma
Somerston Winery,3450 Sage Canyon Road,St. Helena,www.somerstonwineco.com,968-9155,X,Private,,"PRanch, HFlyer, TR-Yountville X"
Somnium Wine,PO Box 307,St. Helena,www.somniumwine.com,287-2246,X,Yes,,
Sosabe Cellars,PO Box 323,St. Helena,www.sosabecellars.com,963-0145,,Private,,"Originally from Cape Verde, Africa"
Southern Roots Wines,,Napa,www.southernrootswines.com,,,Private,,Coombsville
Sova Wines,4078 Spring Mountain Road,St. Helena,www.sovawines.com,337-2396,X,Yes,,Sean Behrens
Spelletich Cellars,2545 Napa Valley Corp. Dr C,Napa,www.spellwine.com,363-0790,X,Private,,
Spence Vineyards,920 White Cottage Road,Angwin,www.spencevineyards.com,965-3416,X,Private,,
Spire Collection,3299 Bennett Lane,Calistoga,www.spirecollection.com,866 399-0261,X,Yes,,"Galerie Wines, Mt. Brave"
Spoto Wines,3630 Meadow Lane,Sacramento,www.spotowines.com,225-5065,X,Private,,
Spottswoode Winery,21902 Madrona Ave,St. Helena,www.spottswoode.com,963-0134,X,Yes,,
Spring Mountain Vineyard,2805 Spring Mountain Rd,St. Helena,www.springmountainvineyard.com,967-4188,X,Yes,Yes,
St. Clair Brown,816 Vallejo Street,Napa,www.stclairbrownwinery.com,255-5591,X,Yes,,
St. Helena Winery,100 Pratt Ave,St. Helena,www.sthelenawinery.com,877 245-6006,X,Yes,,Sympa is 2nd label
St. Supery,8440 St. Helena Highway,Rutherford,www.stsupery.com,800 942-0809,X,No,,Dollarhide Ranch Label
Staglin Family Vineyard,1570 Bella Oaks Lane,Rutherford,www.staglinfamily.com,944-0477,X,Yes,Yes,
Stag's Leap Wine Cellars,5766 Silverado Trail,Napa,www.cask23.com,261-6441,X,No,Yes,
Stags' Leap Winery,6150 Silverado Trail,Napa,www.stagsleap.com,944-1303,X,Yes,Yes,
Stanton Vineyards,862 Mills Lane,St. Helena,www.stantonvineyards.com,967-0482,X,Private,,
Staura Cellars,45 Enterprise Court,Napa,www.stauracellars.com,303 883-8696,,Private,,Wine made in Napa?
Steele Canyon Cellars,6015 Steele Canyon Road,Napa,www.steelecanyoncellars.com,925 691-9600,X,Private,,J. McClelland
Stella Reese,480 Bay Street,Angwin,www.stellareesewine.com,965-9804,X,Private,,
Steltzner Vineyards,6795 Washington St. #202,Yountville,www.steltzner.com,944-2486,X,Private,,
Sterling Vineyards,1111 Dunaweal Lane,Calistoga,www.sterlingvineyards.com,942-3344,X,No,Yes,
Stewart Cellars,6752 Washington Street,Yountville,www.stewartcellars.com,963-9160,X,Private,,"slingshotwines.com, Labels made Napa & Sonoma"
Stonehedge Winery,1004 Clinton Street,Napa,www.stonehedgewinery.com,256-4444,X,No,,"Tasting room, Napa"
Stony Hill Vineyard,3331 St. Helena Highway,St. Helena,www.stonyhillvineyard.com,963-2636,X,Yes,,
Stone The Crows,Greenfield Road,St. Helena,www.stonethecrowswine.com,968-0603,X,Private,,
Stormy Weather Wine,,,www.stormyweatherwine.com,812-0613,,Private,,Wolfs Head Wines
Storybook Mountain,3835 Highway 128,Calistoga,www.storybookwines.com,942-5310,X,Yes,Yes,Seps Estate
Stout Wines,,Napa,www.stoutwines.com,281 536-9246,X,Private,,
Strala Vineyards,3111 St. Helena Highway N,St. Helena,www.stralavineyards.com,800-2310,X,Private,,
Stringer Cellars,PO Box 206,Calistoga,www.stringercellars.com,684-0025,X,Yes,,
Suhring Cellars,,,www.suhringcellars.com,,,Private,,
Sullivan Vineyards,1090 Galleron Road,Rutherford,www.sullivanwine.com,963-9646,X,Yes,,Red Ink
Summit Lake Vineyards,2000 Summit Lake Drive,Angwin,www.summitlakevineyards.com,965-2488,X,Yes,,
Summit Vine ,,,www.summitvine.com,942-1642,,Private,,
Sunshine Valley Vineyards,Hillview Lane,Napa,svvineyards.com,415 420-6000,,Private,,Anthony
Surh Cellars,P.O. Box 2486,Napa,www.surhcellars.com,800 810-9463,X,Private,,
Sutter Home,277 St. Helena Hwy,St. Helena,www.sutterhome.com,963-3104,X,No,,
Swanson Vineyards,1271 Manley Lane,Rutherford,www.swansonvineyards.com,967-3500,X,Yes,,
Switchback Ridge,4292 Silverado Trail,Calistoga,www.switchbackridge.com,967-8987,X,Private,,
Sylvie Estate,,Oakville,www.sylvie-estate.com,,X,Private,,
T Vine Cellars,810 Foothill Blvd ,Calistoga,www.tvinecellars.com,942-8685,X,Private,,
Tamber Bey Vineyard,1251 Tubbs Lane,Calistoga,www.tamberbey.com,942-2100,X,Private,,
Tank Garage,1020 Foothill Blvd,Calistoga,www.tankgaragewinery.com,942-8265,X,No,,
Taplin Cellars,1677 Lewelling Lane,St. Helena,www.taplincellars.com,968-9418,X,Private,,
Tarpon Cellars,,,www.tarponcellars.com,694-5959,,Private,,Jeremy non Napa + Napa
Tate Wines,1309 Main Street Suite C,St. Helena,www.tatewine.com,713 560-3031,X,Yes,,
Taylor Family Vineyards,5991 Silverado Trail,Napa,www.taylorfamilyvineyards.com,255-3593,X,Yes,,
Tayson Pierce Estate Wines,1060 Rutherford Road,Rutherford,www.taysonpiercewines.com,968-9780,X,Private,,
Teachworth,4451 St. Helena Highway,Calistoga,www.teachworthcabs.com,942-8432,X,Yes,Yes,
Teaderman Vineyards,221 Devlin Road,Napa,www.teadermanvineyards.com,255-8700,X,Private,,
Tedeschi Family Winery,2779 Grant Street,Calistoga,www.tedeschifamilywinery.com,942-4274,X,Yes,,
Teeter Totter Wines,,Calistoga,www.teeter-totter.com,800-9040,,Private,,Familiar Air Wine
Tench Vineyards,7633 Silverado Trail,Napa,www.tenchvineyards.com,346-2004,X,Yes,Yes,
Terra Valentine,4007 Spring Mountain Rd,St. Helena,www.terravalentine.com,967-8340,X,Yes,,Foretell Wines
Terraces,1450 Silverado Trail,Rutherford,www.terraceswine.com,963-1707,X,Yes,,
Textbook Wine,,Napa,www.textbookvineyards.com,968-5104,X,Private,,
The 50x50,,,www.thefiftybyfifty.com,418-8480,,Private,,Atlas Peak but all Sonoma  Pinot Noir
The Crane Assembly,357 Main Street,St. Helena,www.thecraneassembly.com,302-0989,X,Yes,,
The Debate Wines,,St. Helena,www.thedebatewine.com,204-0934,X,Yes,,
The Grade Cellars,,Calistoga,www.thegradecellars.com,967-8200,X,Yes,,
The Lodge Winery,,,www.thelodgewinery.com,,,Yes,,"NWco, physical lodge? Mostly Non NV"
The Mascot,,Oakville,www.mascotwine.com,944-0350,X,Private,,
The Napa Valley Reserve,1000 Silverado Trail,St. Helena,www.thenapavalleyreserve.com,968-3192,X,Private,Yes,"Members only, non commercial"
The Prisoner Wine Co,1178 Galleron Road,St. Helena,www.theprisonerwinecompany.com,877 283-5934,X,Yes,,
The Vice Wine,,,www.thevicewine.com,646 316-3872,,Private,,Malek Amrani
The Vineyard House,1581 Oakville Grade Road,Oakville,www.tvhwines.com,294-8556,X,Private,,
The Vineyardist,263 Petrified Forest,Calistoga,www.thevineyardist.com,942-0120,X,Private,,Lazy Susan Ranch?
The Wager ,1414 Lake Street,Calistoga,www.the-wager.com,,,Private,,Still producing?
The Wine Foundry,45 Enterprise Court Ste 3,Napa,www.thewinefoundry.com,637-8821,X,Yes,,
The Wine Stash,912 Enterprise Way,Napa,www.thewinestash.com,754-7559,,Private,,E. Gordon?
Theorem Vineyards,255 Petrified Forest Road,Calistoga,www.theoremvineyards.com,942-4254,X,Yes,,
Theorize Wine,,,www.theorizewine.com,738-0011,,Private,,
Thomas Hsii,4036 Mount Veeder Road,Napa,www.thomas-hsi.com,258-5512,X,Private,,
Three Clicks Wines,P.O. Box 2730,Yountville,www.threeclickswines.com,318-3623,X,Private,,
Tiedemann Wines,530 E Lexington Ave #175,Elkhart IN,www.tiedemannwines.com,574 296-1300,,Private,,IN Distributor +own select Napa wines
Tierra Roja,7701 Silverado Trail,Oakville,www.tierraroja.com,944-8728,X,Private,,
Titus Vineyards,2971 Silverado Trail N,St. Helena,www.titusvineyards.com,963-3235,X,Yes,,
Tobias Vineyard,750 Bell Canyon Road,Angwin,www.tobiasvineyards.com,486-3121,X,Private,,
Tofanelli Family,1212 Pine Street,Calistoga,www.tofanelliwine.com,942-6504,X,Yes,,
Tom Eddy Wines,3870 CA-128,Calistoga,www.tomeddywines.com,942-4267,X,Yes,Yes,"Elodian, TENZ"
Tom Scott Vineyard,1465 Yountville Cross Road,Yountville,www.tomscottvineyard.com,944-0544,X,Private,,
Toquade Wine,2865 Hilltop Drive,Napa,www.toquadewines.com,738-7779,X,Private,,
TOR Kenward Family,1241 Adams Road St. 1045,St. Helena,www.torwines.com,963-3100,X,Private,,Rock
Tournesol Wine,4297 East Third Ave,Napa,www.tournesolwine.com,224-3960,X,Private,,
Toymaker Cellars,PO Box 514,Napa,www.toymakercellars.com,287-6681,,Private,,
Trahan Winery,974 Franklin Street,Rutherford,www.trahanwinery.com,257-7477,X,Yes,,Tasting room in Napa 342-1364
Travail Estate,PO Box 3898,Yountville,www.travail-estate.com,,,Private,,TRB winemaker
Tree Bottom Wines,1750 Howell Mountain Road,Angwin,www.treebottom.com,,X,Yes,,
Trefethen Vineyards,1160 Oak Knoll Ave,Napa,www.trefethen.com,255-7700,X,No,,Eschol Ranch Label
Tres Perlas,4254 Old Sonoma Highway,Napa,www.tresperlas.com,253-7686,X,Private,,
Tres Sabores,1620 S. Whitehall Lane,Rutherford,www.tressabores.com,967-8027,X,Yes,Yes,
Trespass Vineyard,1859 Hillview Place,St. Helena,www.trespassvineyard.com,963-0804,X,Yes,,Encroachment Wine Pinot Noir RRV
Tribe & Arrow,1031 McKinstry Street,Napa,www.olettewines.com,927-5688,X,,,VinFormant
Trinchero Family,8210 St. Helena Highway,St. Helena,www.trincheronapavalley.com,963-5839,X,Yes,Yes,"www.tfewines.com, Many labels, Mason"
Trinitas Cellars,875 Bordeaux Way,Napa,www.trinitascellars.com,935-3504,X,Yes,Yes,Meritage & The Wine Library
Triple Seven Cellars,PO Box 630449,Houston TX,www.777cellars.com,281 541-3308,X,Private,,
Triumph Wine Group,Main Street,St. Helena,www.triumphwinegroup.com,942-7422,,No,,Mostly non Napa wines
Trois Noix Wine,588 Zinfandel Lane,St. Helena,www.troisnoixwine.com,805-0556,X,Yes,,
Trotter 1/16th Wines,PO Box 1291,Calistoga,www.116wines.com,478-7911,X,Private,,
Truchard Vineyard,3234 Old Sonoma Road,Napa,www.truchardvineyards.com,253-7153,X,Yes,Yes,Poppy Hill
Trujillo Wines,661 Main Street,St. Helena,www.trujillowines.com,965-2943,X,No,,
Tulocay Winery,1426 Coombsville Road,Napa,www.tulocay.com,255-4064,X,Yes,,
Turley Wine Cellars,3358 St. Helena Hwy,St. Helena,www.turleywinecellars.com,963-0940,X,Private,,2 non Napa Trooms. St.Helena Winery
Turnbull Wine Cellars,8210 St. Helena Highway,St. Helena,www.turnbullwines.com,963-5839,X,No,,Tours require appointment
Tusk Estates,P.O. Box 126,Oakville,www.tuskestates.com,944-8355,,Private,Yes,Visited 2x
Twomey Cellars,1183 Dunaweal Lane,Calistoga,www.twomeycellars.com,942-2489,X,No,,"Stonegate Label, Also winery Healdsburg"
Unwritten Wines,,St. Helena,www.unwrittenwines.com,650 773-4657,,Yes,,
V12 Vineyards,2001 Soda Canyon  Road,Napa,www.v12vineyards.com,225-2551,X,Private,,
V Madrone,3199 St. Helena Highway N.,St. Helena,www.vmadrone.com,302-8181,X,Yes,,
V. Sattui,1111 White Lane,St. Helena,www.vsattui.com,963-7774,X,No,,
Van Dyk Family Wines,109 Valley Club Circle,Napa,www.vandykfamilywines.com,927-5452,,Private,,Still producing? Not made every year??
Vangone Estate,,Napa,www.vangoneestate.com,339-8822,,Private,,Hiatus Cellars
Varozza Vineyards,514 Pratt Ave,St. Helena,www.varozzavineyards.com,963-0331,X,Yes,,
Venge Vineyards,4708 Silverado Trail N,Calistoga,www.vengevineyards.com,942-9100,X,Yes,,
Vermeil Wines,1018 1st Street,Napa,www.vermeilwines.com,254-9881,X,No,,
VGS Chateau Potelle,1200 Dowdell Lane,St. Helena,www.vgschateaupotelle.com,255-9440,X,No,,
Viader,1120 Deer Park Road,Deer Park,www.viader.com,963-3816,X,Yes,Yes,Dare Label
Vice Versa,4225 Solano Ave Ste. 555,Napa,www.viceversawine.com,363-1954,X,Private,,
Vida Valiente Winery,335 West Lane,Angwin,www.vidavalientewinery.com,,,Private,,"Sam Baxter, Hayes Drumwright"
Villa Ragazzi,7878 Money Road,Napa,www.villaragazziwine.com,486-3184,X,Yes,,
Vin Roc,4069 Atlas Peak Road,Napa,www.vinrocnapa.com,265-0943,X,Private,Yes,Dwindling production
Vincent Arroyo,2361 Greenwood Ave,Calistoga,www.vincentarroyo.com,942-6995,X,Yes,,
Vine Cliff,7400 Silverado Trail,Napa,www.vinecliff.com,944-1364,X,Yes,Yes,"TR 699 St. Helena Hwy, St. Helena"
Vine Hill Ranch,7353 St.. Helena Highway,Oakville,www.vinehillranch.com,944-8130,X,Private,,
Vineyard 29,2929 St. Helena Highway N,St. Helena,www.vineyard29.com,963-9292,X,Yes,Yes,"CRU Annex, Aida wines"
Vineyard 7 & 8,4028 Spring Mountain Rd.,St. Helena,www.vineyard7and8.com,963-9425,X,Yes,Yes,Correlation Wine Co
Vineyard 36,,St. Helena,www.vineyard36.com,888 394-7525,X,Yes,,
Vineyard 511,511 Kortum Canyon Road,Calistoga,www.vineyard511.com,942-2156,X,Private,,
Vinoce,68 South Coombs Street L6,Napa,www.vinoce.com,265-7750,X,Private,,"VC, Twenty Rows, Elevensance, TR Napa"
Vinum Cellars,499 Devlin Road,Napa,www.vinumcellars.com,254-8313,X,Private,,NAPA WINE CO
Virage Napa Valley,,Napa,www.viragenapavalley.com,963-2588,X,Private,,
Vitesse Vineyard,,,www.vitessevineyards.com ,,,Private,,Made in Napa??  Or Marin?
Voces Cellars,P.O. Box 687,Calistoga,www.vocescellars.com,225-2474,X,Private,,
Volker Eisele Family Estate,3080 Lower Chiles Valley,St. Helena,www.volkereiselefamilyestate.com,965-9485,X,Yes,,
Von Strasser,965 Silverado Trail N,Calistoga,www.vonstrasser.com,942-9500,X,Yes,,
Vörös Cellars,PO Box 91,Calistoga,www.voroscellars.com,974-6272,X,Private,,
Voss Vineyards,1862 El Centro Ave,Napa,www.vossvineyards.com,259-0993,,Private,,
W.H. Smith Wines,1181 Las Posadas Road,Angwin,www.whsmithwines.com,965-9726,X,Private,Yes,"Was Piedra Hill, TR 1367 Lincoln Ave, Calistoga"
Wallis Estate,1670 Diamond Mountain Rd,Calistoga,www.wallisestate.com,877 463-8008,X,Private,,
Waterfront Cellars,45 Enterprise Court,Napa,www.religion.wine,949 929-2581,,Private,,Made at Wine Foundry
Watermark Wine,1976 Summit Lake Drive,Angwin,www.watermarkwine.com,942-1734,X,Private,,
Waterstone Winery,P.O. Box 6979,Napa,www.waterstonewines.com,265-8523,X,Yes,,
Waugh Cellars,2275 Soda Canyon Road,Napa,www.waughcellars.com,227-2242,X,Private,Yes,Six Degrees Wine
Whetstone Wine Cellars,1075 Atlas Peak Road,Napa,www.whetstonewinecellars.com,254-0600,X,Yes,,Taste at Ubuntu Annex
White Rock Vineyards,1115 Loma Vista Dr,Napa,www.whiterockvineyards.com,257-7922,X,Yes,Yes,Madigan = 2nd label
Whitehall Lane,1563 St. Helena Hwy,St. Helena,www.whitehalllane.com,800 963-9454,X,No,,Leonardini Family Winery
Wicker Vineyards,899 Dowdell Lane #A,St. Helena,www.wickervineyards.com,963-2251,X,Private,,
Wiliam & Mary Wine Co,PO Box 3777,Yountville,www.williammarywineco.com,302-8498,,Private,,Shifflet Estate
William Cole Vineyards,2849 St. Helena Highway N,St. Helena,www.williamcolevineyards.com,963-6100,X,Yes,,"Predecessor Estate, Trifecta"
William Harrison,1443 Silverado Trail,St. Helena,www.whwines.com,963-8762,X,No,,
William Hill Estate,1761 Atlas Peak Road,Napa,www.williamhillestate.com,224-4477,X,Yes,,
Willow Peak Wine,Kreuzer Lane,Napa,www.willowpeakwine.com,,,Private,,Still producing? V above Caldwell
Wine Country Connection,6484 Washington Street E,Yountville,www.winecountryconnection.net,225-1831,X,No,,"Mastery, Blind Taste, Steps, James Joseph"
Wilson Foreigner,PO Box 2716,Napa,www.wilsonforeigner.com,,,Private,,"Property SE Napa County, 1 Napa wine"
Wing Canyon Vineyard,3100 Mt. Veeder Road,Napa,www.wingcanyonvineyard.com,265-8798,X,Yes,,
Wingspan,,Calistoga,www.wingspan-wine.com,,,Private,,"Napa rose + non napa fruit, Tessa (Perliss)"
Wtichery Wine,,Rutherford,www.witcherywine.com,287-1063,X,Private,,
Wonderment Wines,,Napa,www.wondermentwines.com,843 822-8466,,Yes,,"Mostly non Napa, Charleston SC"
Work Vineyard,3190 Highway 128,Calistoga,www.workvineyard.com,942-0251,X,Private,,
Yan Cellars,,Napa,www.yancellars.com,716-7690,,Yes,,
Yao Family Wines,P.O. Box 111,Napa,www.yaofamilywines.com,968-7470,X,Private,,
Yates Family,4723 Redwood Road,Napa,www.yatesfamilyvineyard.com,226-1800,X,Private,,Used to be Napa Redwoods Estate
Young Inglewood,1919 Inglewood Ave,St. Helena,www.younginglewood.com,200-4572,X,Yes,,
Young Ridge,945 Lincoln Ave,Napa,www.youngridge.com,265-8400,,Private,,Still producing?
Yount Ridge,PO Box 47,Oakville,www.yountridge.com,339-8460,X,Private,,
Y Rousseau Wines,902 Enterprise Way,Napa,www.yrousseauwines.com,287-3471,X,Private,,"Mt. Veeder wine, also non Napa wines"
Zakin Estate,290 Crystal Springs Road,St. Helena,www.zakinwines.com,415 793-6354,X,Private,,
Zeitgeist Cellars,P.O. Box 552,St. Helena,www.zeitgeistcellars.com,480-1538,X,Private,,
Ziata Wines,PO Box 248,St. Helena,www.ziatawines.com,225-7442,X,Private,,"Karen, Trinchero affiliation"
ZD Winery,8383 Silverado Trail,Napa,www.zdwines.com,963-5188,X,No,,Abacus label
Zuidema Wine Co,PO Box 2690,Napa,www.zuidemawines.com,310-4925,X,Private,,
